setting,f1,precision,recall,p@k,chamfer,hausdorff,rot_self_cd,density_err
test_constrained,0.5190 ± 0.0145,0.4978 ± 0.0250,0.5752 ± 0.0018,0.5199 ± 0.0204,0.0298 ± 0.0007,0.1968 ± 0.0066,0.0064 ± 0.0003,0.0882 ± 0.0051
test_unconstrained_orbit_eval,0.5232 ± 0.0147,0.4963 ± 0.0286,0.5880 ± 0.0093,0.5209 ± 0.0221,0.0300 ± 0.0010,0.2005 ± 0.0086,0.0070 ± 0.0017,0.0922 ± 0.0076
test_unconstrained_free,0.5202 ± 0.0178,0.4954 ± 0.0237,0.5812 ± 0.0197,0.5209 ± 0.0221,0.0296 ± 0.0009,0.1963 ± 0.0058,0.0085 ± 0.0010,0.0904 ± 0.0057
test_constrained_aug,0.5213 ± 0.0202,0.4901 ± 0.0266,0.5923 ± 0.0324,0.5215 ± 0.0244,0.0298 ± 0.0007,0.1957 ± 0.0051,0.0076 ± 0.0011,0.0974 ± 0.0131
test_unconstrained_aug_orbit_eval,0.5231 ± 0.0217,0.4917 ± 0.0190,0.5936 ± 0.0301,0.5164 ± 0.0195,0.0302 ± 0.0013,0.1987 ± 0.0040,0.0074 ± 0.0010,0.0955 ± 0.0057
test_unconstrained_aug_free,0.5200 ± 0.0190,0.4941 ± 0.0227,0.5822 ± 0.0213,0.5164 ± 0.0195,0.0301 ± 0.0012,0.1997 ± 0.0049,0.0085 ± 0.0006,0.0913 ± 0.0050
test_template,0.5338 ± 0.0185,0.4220 ± 0.0235,0.7779 ± 0.0049,0.4942 ± 0.0198,0.0295 ± 0.0010,0.2132 ± 0.0065,0.0102 ± 0.0004,0.2681 ± 0.0178
test_nearest_neighbor,0.4365 ± 0.0037,0.4540 ± 0.0145,0.4452 ± 0.0122,0.4227 ± 0.0177,0.0321 ± 0.0006,0.2204 ± 0.0049,0.0105 ± 0.0003,0.0860 ± 0.0050
heldout_family_constrained,0.5621 ± 0.0272,0.5645 ± 0.0281,0.5746 ± 0.0251,0.5885 ± 0.0188,0.0297 ± 0.0006,0.1992 ± 0.0044,0.0057 ± 0.0011,0.0617 ± 0.0086
heldout_family_unconstrained_orbit_eval,0.5576 ± 0.0297,0.5548 ± 0.0276,0.5740 ± 0.0329,0.5822 ± 0.0293,0.0299 ± 0.0003,0.2033 ± 0.0070,0.0066 ± 0.0025,0.0618 ± 0.0086
heldout_family_unconstrained_free,0.5565 ± 0.0320,0.5561 ± 0.0280,0.5707 ± 0.0421,0.5822 ± 0.0293,0.0297 ± 0.0002,0.1976 ± 0.0078,0.0076 ± 0.0016,0.0621 ± 0.0093
heldout_symmetry_constrained,0.5242 ± 0.0034,0.5025 ± 0.0055,0.5775 ± 0.0166,0.5241 ± 0.0095,0.0304 ± 0.0001,0.2079 ± 0.0099,0.0071 ± 0.0008,0.0832 ± 0.0028
heldout_symmetry_unconstrained_orbit_eval,0.5315 ± 0.0087,0.5066 ± 0.0056,0.5880 ± 0.0252,0.5304 ± 0.0130,0.0303 ± 0.0003,0.2089 ± 0.0092,0.0082 ± 0.0038,0.0869 ± 0.0060
heldout_symmetry_unconstrained_free,0.5295 ± 0.0062,0.5111 ± 0.0080,0.5770 ± 0.0159,0.5304 ± 0.0130,0.0293 ± 0.0003,0.1981 ± 0.0020,0.0103 ± 0.0004,0.0844 ± 0.0039
